type,entry_time,entry_price,sl,tp,lots,spread,profit,exit_time,exit_price,reason,commission
SELL,2024-05-22 19:00:00+00:00,2380.899901367182,2401.379784179682,2339.940135742182,4.8828404398371114e-05,0.0,199.99999999999912,2024-05-23 17:00:00+00:00,2339.940135742182,TAKE_PROFIT,0.0
SELL,2024-05-23 18:00:00+00:00,2333.69995018827,2354.43998925077,2292.21987206327,4.918023524093833e-05,0.0,-0.9833694043433054,2024-05-24 18:00:00+00:00,2333.89990234375,SIGNAL_EXIT,0.0
SELL,2024-05-24 19:00:00+00:00,2335.8999006296226,2347.7998518014974,2312.0999982858725,8.570637377656285e-05,0.0,-101.99016630595501,2024-05-27 02:00:00+00:00,2347.7998518014974,STOP_LOSS,0.0
SELL,2024-05-29 15:00:00+00:00,2343.8000474119885,2358.0600083494887,2315.2801255369886,7.080683115854223e-05,0.0,-84.96820741746417,2024-05-30 08:00:00+00:00,2355.800048828125,SIGNAL_EXIT,0.0
SELL,2024-06-04 16:00:00+00:00,2346.1000965978883,2365.0200184728883,2308.2602528478883,5.291807399110753e-05,0.0,-33.867056176888795,2024-06-05 07:00:00+00:00,2352.5,SIGNAL_EXIT,0.0
SELL,2024-06-07 15:00:00+00:00,2331.600096976072,2360.940038382322,2272.920214163572,3.400889954936923e-05,0.0,3.400887641726766,2024-06-10 17:00:00+00:00,2330.60009765625,SIGNAL_EXIT,0.0
SELL,2024-06-13 08:00:00+00:00,2332.699949326827,2343.519822373702,2311.060203233077,9.225239561586136e-05,0.0,199.63184176674238,2024-06-13 16:00:00+00:00,2311.060203233077,TAKE_PROFIT,0.0
SELL,2024-06-13 17:00:00+00:00,2314.8999013676025,2335.7599111332274,2273.1798818363527,4.8807378541506506e-05,0.0,-101.81223930103774,2024-06-14 08:00:00+00:00,2335.7599111332274,STOP_LOSS,0.0
SELL,2024-06-17 16:00:00+00:00,2327.1999496164053,2340.1599105539053,2301.2800277414053,7.777347277056776e-05,0.0,-100.7941169080278,2024-06-18 00:00:00+00:00,2340.1599105539053,STOP_LOSS,0.0
SELL,2024-06-18 13:00:00+00:00,2328.4999985039544,2341.8399887383293,2301.8200180352046,7.480228544831666e-05,0.0,-99.78617573894685,2024-06-18 14:00:00+00:00,2341.8399887383293,STOP_LOSS,0.0
SELL,2024-06-24 07:00:00+00:00,2335.60009569226,2345.6600566297598,2315.48017381726,9.819950056993754e-05,0.0,-98.78831398155717,2024-06-24 13:00:00+00:00,2345.6600566297598,STOP_LOSS,0.0
SELL,2024-06-25 07:00:00+00:00,2338.999997671391,2347.399900015141,2322.200192983891,0.00011643043792587842,0.0,-97.8004308417425,2024-06-25 10:00:00+00:00,2347.399900015141,STOP_LOSS,0.0
SELL,2024-06-25 19:00:00+00:00,2331.300047393703,2344.7999009093282,2304.300340362453,7.172109417428927e-05,0.0,93.9553234817988,2024-06-27 09:00:00+00:00,2318.199951171875,SIGNAL_EXIT,0.0
